"App name","Date","Time","Duration"
"Instagram","4/19/24","11:50:17 PM","0:09:42"
"Screen on (unlocked)","4/19/24","11:49:54 PM","0:00:00"
"Screen on (locked)","4/19/24","11:49:53 PM","0:00:01"
"Screen off (locked)","4/19/24","11:49:13 PM","0:00:40"
"Screen on (locked)","4/19/24","11:49:01 PM","0:00:11"
"Screen off (locked)","4/19/24","11:29:47 PM","0:19:14"
"Screen on (locked)","4/19/24","11:29:35 PM","0:00:12"
"Screen off (locked)","4/19/24","11:19:13 PM","0:10:23"
"Screen on (locked)","4/19/24","11:18:51 PM","0:00:21"
"Screen off (locked)","4/19/24","10:53:36 PM","0:25:15"
"Screen on (locked)","4/19/24","10:53:26 PM","0:00:10"
"Screen off (locked)","4/19/24","10:34:44 PM","0:18:42"
"Screen on (locked)","4/19/24","10:34:34 PM","0:00:10"
"Screen off (locked)","4/19/24","9:56:36 PM","0:37:57"
"Screen on (locked)","4/19/24","9:56:27 PM","0:00:09"
"Screen off (locked)","4/19/24","9:56:06 PM","0:00:21"
"Gmail","4/19/24","9:55:36 PM","0:00:24"
"Clash of Clans","4/19/24","9:35:07 PM","0:20:21"
"Chess","4/19/24","9:34:44 PM","0:00:20"
"Genshin Impact","4/19/24","9:27:07 PM","0:07:32"
"WhatsApp","4/19/24","9:25:52 PM","0:01:15"
"Contacts","4/19/24","9:25:46 PM","0:00:01"
"Truecaller","4/19/24","9:25:44 PM","0:00:02"
"Screen on (unlocked)","4/19/24","9:25:43 PM","0:00:00"
"Truecaller","4/19/24","9:25:43 PM","0:00:00"
"Screen on (locked)","4/19/24","9:25:42 PM","0:00:01"
"Screen off (locked)","4/19/24","9:22:37 PM","0:03:05"
"Screen on (locked)","4/19/24","9:22:26 PM","0:00:11"
"Screen off (locked)","4/19/24","9:21:33 PM","0:00:53"
"Truecaller","4/19/24","9:21:28 PM","0:00:04"
"Contacts","4/19/24","9:21:23 PM","0:00:05"
"Phone","4/19/24","9:21:23 PM","0:00:01"
"Screen on (unlocked)","4/19/24","9:21:22 PM","0:00:00"
"Screen off","4/19/24","9:11:54 PM","0:09:28"
"Phone","4/19/24","9:11:25 PM","0:00:30"
"Screen on (unlocked)","4/19/24","9:11:24 PM","0:00:00"
"Screen off","4/19/24","9:11:12 PM","0:00:12"
"Phone","4/19/24","9:09:46 PM","0:01:26"
"Screen on (unlocked)","4/19/24","9:09:46 PM","0:00:00"
"Screen off","4/19/24","9:09:37 PM","0:00:09"
"Phone","4/19/24","9:09:35 PM","0:00:01"
"Screen on (unlocked)","4/19/24","9:09:35 PM","0:00:00"
"Screen off","4/19/24","9:09:31 PM","0:00:04"
"Phone","4/19/24","9:08:22 PM","0:01:10"
"Screen on (unlocked)","4/19/24","9:08:21 PM","0:00:00"
"Screen off","4/19/24","9:08:17 PM","0:00:04"
"Phone","4/19/24","9:08:14 PM","0:00:03"
"Screen on (unlocked)","4/19/24","9:08:14 PM","0:00:00"
"Screen off","4/19/24","9:08:03 PM","0:00:11"
"Phone","4/19/24","9:07:57 PM","0:00:06"
"Screen on (unlocked)","4/19/24","9:07:57 PM","0:00:00"
"Screen off","4/19/24","9:07:53 PM","0:00:04"
"Phone","4/19/24","9:07:49 PM","0:00:05"
"Screen on (unlocked)","4/19/24","9:07:49 PM","0:00:00"
"Screen off","4/19/24","9:07:44 PM","0:00:04"
"Phone","4/19/24","9:07:41 PM","0:00:03"
"Screen on (unlocked)","4/19/24","9:07:41 PM","0:00:00"
"Screen off","4/19/24","9:07:14 PM","0:00:26"
"Phone","4/19/24","9:07:12 PM","0:00:03"
"Screen on (unlocked)","4/19/24","9:07:11 PM","0:00:01"
"Screen off","4/19/24","9:03:45 PM","0:03:26"
"Phone","4/19/24","9:03:42 PM","0:00:04"
"Contacts","4/19/24","9:03:38 PM","0:00:04"
"Chrome","4/19/24","9:02:59 PM","0:00:39"
"Chrome","4/19/24","9:02:52 PM","0:00:03"
"Screen on (unlocked)","4/19/24","9:02:52 PM","0:00:01"
"Screen off (locked)","4/19/24","8:58:50 PM","0:04:02"
"Chrome","4/19/24","8:51:25 PM","0:07:25"
"Truecaller","4/19/24","8:51:22 PM","0:00:03"
"Chrome","4/19/24","8:51:20 PM","0:00:02"
"Screen on (unlocked)","4/19/24","8:51:20 PM","0:00:00"
"Screen off","4/19/24","8:51:07 PM","0:00:13"
"Chrome","4/19/24","8:42:55 PM","0:08:12"
"Instagram","4/19/24","8:41:25 PM","0:01:26"
"Chrome","4/19/24","8:41:02 PM","0:00:22"
"Instagram","4/19/24","8:40:58 PM","0:00:03"
"Chrome","4/19/24","8:40:35 PM","0:00:22"
"Instagram","4/19/24","8:34:15 PM","0:06:20"
"WhatsApp","4/19/24","8:32:55 PM","0:01:18"
"Instagram","4/19/24","8:32:04 PM","0:00:51"
"Chrome","4/19/24","8:27:57 PM","0:03:58"
"Screen on (unlocked)","4/19/24","8:27:49 PM","0:00:00"
"Screen on (locked)","4/19/24","8:27:48 PM","0:00:00"
"Screen off (locked)","4/19/24","8:24:34 PM","0:03:15"
"Instagram","4/19/24","8:23:57 PM","0:00:35"
"Screen on (unlocked)","4/19/24","8:23:48 PM","0:00:00"
"Screen on (locked)","4/19/24","8:22:16 PM","0:01:32"
"Chrome","4/19/24","8:21:58 PM","0:00:16"
"Instagram","4/19/24","8:03:51 PM","0:18:05"
"Chrome","4/19/24","8:03:07 PM","0:00:43"
"Instagram","4/19/24","7:40:54 PM","0:22:12"
